Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 580,29 Seats available,"4.2
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,INR 600,23 Seats available,"3.0
9",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,INR 610,30 Seats available,"3.4
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:45,05:20,05h 35m,800,40 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 550,26 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
RRR Travels,A/C Seater / Sleeper (2+1),23:50,05:30,05h 40m,INR 600,9 Seats available,"4.6
39",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,A/C Seater (2+2),23:50,06:00,06h 10m,INR 650,28 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:58,05:00,05h 02m,INR 800,30 Seats available,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,05:30,05h 31m,INR 610,25 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,INR 699,24 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8818,Super Luxury (Non AC Seater 2+2 Push Back),09:40,15:30,05h 50m,INR 320,30 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8612,Super Luxury (Non AC Seater 2+2 Push Back),09:45,13:50,04h 05m,INR 320,26 Seats available,"2.9
9",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 64529,Super Luxury (Non AC Seater 2+2 Push Back),09:55,15:55,06h 00m,INR 320,30 Seats available,"3.0
9",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8691,RAJDHANI (A.C. Semi Sleeper),10:00,14:30,04h 30m,INR 389,34 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 64594,Super Luxury (Non AC Seater 2+2 Push Back),10:10,14:25,04h 15m,INR 320,26 Seats available,"3.1
10",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 1322,LAHARI A/C SLEEPER CUM SEATER,10:25,16:20,05h 55m,INR 389,29 Seats available,"3.8
34",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 7647,Super Luxury (Non AC Seater 2+2 Push Back),10:30,15:20,04h 50m,INR 320,26 Seats available,"3.8
7",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8695,RAJADHANI AC (CONVERTED METRO LUXURY),10:30,14:30,04h 00m,INR 389,34 Seats available,"2.9
14",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8604,RAJADHANI AC (CONVERTED METRO LUXURY),11:30,15:30,04h 00m,INR 389,36 Seats available,"3.6
24",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8850,Super Luxury (Non AC Seater 2+2 Push Back),11:45,18:10,06h 25m,INR 320,26 Seats available,"3.7
10",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8634,Super Luxury (Non AC Seater 2+2 Push Back),11:50,16:10,04h 20m,INR 320,31 Seats available,"4.5
7",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
